year,month,month-19,month-17,month-15,month-13,month-11,month-9,month-7,month-5,month-3,month-1,actual
2022,2,100.6,100.2,99.4,101,99.5,99.8,100.3,100,100.4,100.4,100.6
2022,3,100.4,99.7,100.7,100.6,99.7,99.6,100.1,100.7,99.7,100.6,100
2022,4,100.2,99.4,101,99.5,99.8,100.3,100,100.4,100.4,100,100.4
2022,5,99.7,100.7,100.6,99.7,99.6,100.1,100.7,99.7,100.6,100.4,99.8
2022,6,99.4,101,99.5,99.8,100.3,100,100.4,100.4,100,99.8,100
2022,7,100.7,100.6,99.7,99.6,100.1,100.7,99.7,100.6,100.4,100,100.5
2022,8,101,99.5,99.8,100.3,100,100.4,100.4,100,99.8,100.5,99.9
2022,9,100.6,99.7,99.6,100.1,100.7,99.7,100.6,100.4,100,99.9,100.3
2022,10,99.5,99.8,100.3,100,100.4,100.4,100,99.8,100.5,100.3,100.1
2022,11,99.7,99.6,100.1,100.7,99.7,100.6,100.4,100,99.9,100.1,99.8
2022,12,99.8,100.3,100,100.4,100.4,100,99.8,100.5,100.3,99.8,100
2023,1,99.6,100.1,100.7,99.7,100.6,100.4,100,99.9,100.1,100,100.8
2023,2,100.3,100,100.4,100.4,100,99.8,100.5,100.3,99.8,100.8,99.5
2023,3,100.1,100.7,99.7,100.6,100.4,100,99.9,100.1,100,99.5,99.7
2023,4,100,100.4,100.4,100,99.8,100.5,100.3,99.8,100.8,99.7,99.9
2023,5,100.7,99.7,100.6,100.4,100,99.9,100.1,100,99.5,99.9,99.8
2023,6,100.4,100.4,100,99.8,100.5,100.3,99.8,100.8,99.7,99.8,99.8
2023,7,99.7,100.6,100.4,100,99.9,100.1,100,99.5,99.9,99.8,100.2
2023,8,100.4,100,99.8,100.5,100.3,99.8,100.8,99.7,99.8,100.2,100.3
2023,9,100.6,100.4,100,99.9,100.1,100,99.5,99.9,99.8,100.3,100.2
2023,10,100,99.8,100.5,100.3,99.8,100.8,99.7,99.8,100.2,100.2,99.9
2023,11,100.4,100,99.9,100.1,100,99.5,99.9,99.8,100.3,99.9,99.5
2023,12,99.8,100.5,100.3,99.8,100.8,99.7,99.8,100.2,100.2,99.5,100.1
2024,1,100,99.9,100.1,100,99.5,99.9,99.8,100.3,99.9,100.1,100.3
2024,2,100.5,100.3,99.8,100.8,99.7,99.8,100.2,100.2,99.5,100.3,101
2024,3,99.9,100.1,100,99.5,99.9,99.8,100.3,99.9,100.1,101,99
2024,4,100.3,99.8,100.8,99.7,99.8,100.2,100.2,99.5,100.3,99,100.1
2024,5,100.1,100,99.5,99.9,99.8,100.3,99.9,100.1,101,100.1,99.9
2024,6,99.8,100.8,99.7,99.8,100.2,100.2,99.5,100.3,99,99.9,99.8
2024,7,100,99.5,99.9,99.8,100.3,99.9,100.1,101,100.1,99.8,100.5
2024,8,100.8,99.7,99.8,100.2,100.2,99.5,100.3,99,99.9,100.5,100.4
2024,9,99.5,99.9,99.8,100.3,99.9,100.1,101,100.1,99.8,100.4,100
2024,10,99.7,99.8,100.2,100.2,99.5,100.3,99,99.9,100.5,100,99.7
2024,11,99.9,99.8,100.3,99.9,100.1,101,100.1,99.8,100.4,99.7,99.4
2024,12,99.8,100.2,100.2,99.5,100.3,99,99.9,100.5,100,99.4,100
2025,1,99.8,100.3,99.9,100.1,101,100.1,99.8,100.4,99.7,100,100.7
2025,2,100.2,100.2,99.5,100.3,99,99.9,100.5,100,99.4,100.7,99.8
2025,3,100.3,99.9,100.1,101,100.1,99.8,100.4,99.7,100,99.8,99.6
2025,4,100.2,99.5,100.3,99,99.9,100.5,100,99.4,100.7,99.6,100.1
2025,5,99.9,100.1,101,100.1,99.8,100.4,99.7,100,99.8,100.1,99.8
2025,6,99.5,100.3,99,99.9,100.5,100,99.4,100.7,99.6,99.8,99.9
2025,7,100.1,101,100.1,99.8,100.4,99.7,100,99.8,100.1,99.9,100.4
2025,8,100.3,99,99.9,100.5,100,99.4,100.7,99.6,99.8,100.4,100
2025,9,101,100.1,99.8,100.4,99.7,100,99.8,100.1,99.9,100,100.1
2025,10,99,99.9,100.5,100,99.4,100.7,99.6,99.8,100.4,100.1,100.2
2025,11,100.1,99.8,100.4,99.7,100,99.8,100.1,99.9,100,100.2,99.9
2025,12,99.9,100.5,100,99.4,100.7,99.6,99.8,100.4,100.1,99.9,100.2
2026,1,99.8,100.4,99.7,100,99.8,100.1,99.9,100,100.2,100.2,100.2
2026,2,100.5,100,99.4,100.7,99.6,99.8,100.4,100.1,99.9,100.2,101
2026,3,100.4,99.7,100,99.8,100.1,99.9,100,100.2,100.2,101,99.3
