sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,selection_method,search_distance
41,2,2016-12,2017-11,2017-12,2013-09,2014-08,2014-09,100.3,100.5,-0.2,1.401819,1.401819,0.890582556382987,0.9650067600498948,0.7598624860761802,0.8624346230630375,small,ssa_delta_stratified_gap1_max1,0.9565958448169725
42,4,2017-01,2017-12,2018-01,2013-11,2014-10,2014-11,100.6,99.8,0.8,1.619044,1.619044,0.45569345713468995,1.1145436071405952,0.38880658591982004,0.7516750965302076,large,ssa_delta_stratified_gap1_max1,1.0847883892705434
42,18,2017-01,2017-12,2018-01,2015-01,2015-12,2016-01,100.6,100.5,0.1,1.264572,1.264572,0.3037956380898005,0.8705264578164625,0.2592043906132195,0.564865424214841,medium,ssa_delta_stratified_gap1_max1,0.8454622530611295
42,19,2017-01,2017-12,2018-01,2015-02,2016-01,2016-02,100.6,101.6,-1.0,0.9109,0.9109,0.45213611857973124,0.627060025388049,0.385771394966649,0.506415710177349,small,ssa_delta_stratified_gap1_max1,0.6171671915407716
43,27,2017-02,2018-01,2018-02,2015-10,2016-09,2016-10,101.2,99.9,1.3,1.563777,1.563777,1.348049489988998,1.0764980187959676,1.1501822368686303,1.113340127832299,large,ssa_delta_stratified_gap1_max1,1.0795190717369467
43,7,2017-02,2018-01,2018-02,2014-02,2015-01,2015-02,101.2,101.2,0.0,0.952896,0.952896,0.810060273611048,0.6559699088288179,0.6911592967614074,0.6735646027951127,medium,ssa_delta_stratified_gap1_max1,0.6574126737340541
43,19,2017-02,2018-01,2018-02,2015-02,2016-01,2016-02,101.2,101.6,-0.4,1.208193,1.208193,1.0160169621847108,0.8317153729867856,0.8668855787124096,0.8493004758495976,small,ssa_delta_stratified_gap1_max1,0.833157351421536
44,21,2017-03,2018-02,2018-03,2015-04,2016-03,2016-04,98.9,99.8,-0.9,1.411341,1.411341,2.4817290186958756,0.9715616679011904,2.1174598226721697,1.54451074528668,small,ssa_delta_stratified_gap1_max1,1.0185434922468004
45,8,2017-04,2018-03,2018-04,2014-03,2015-02,2015-03,99.8,99.5,0.3,1.650553,1.650553,3.5295741344799625,1.1362342804746077,3.011501805636939,2.073868043055773,medium,ssa_delta_stratified_gap1_max1,1.2131202490062634
45,30,2017-04,2018-03,2018-04,2016-01,2016-12,2017-01,99.8,101.0,-1.2,1.526909,1.526909,2.0028637986075273,1.0511182306567575,1.7088826346015,1.3800004326291289,small,ssa_delta_stratified_gap1_max1,1.0780865712184917
46,22,2017-05,2018-04,2018-05,2015-05,2016-04,2016-05,99.8,99.5,0.3,0.565326,0.565326,1.3394642511201997,0.38916822473655077,1.1428571428572474,0.766012683796899,medium,ssa_delta_stratified_gap1_max1,0.4200694703794993
46,28,2017-05,2018-04,2018-05,2015-11,2016-10,2016-11,99.8,100.1,-0.3,1.507027,1.507027,1.1818333755031714,1.0374315390059008,1.008363391356897,1.022897465181399,small,ssa_delta_stratified_gap1_max1,1.0362397449522915
47,22,2017-06,2018-05,2018-06,2015-05,2016-04,2016-05,99.9,99.5,0.4,1.539181,1.539181,1.5068972825100462,1.0595662278370868,1.285714285714251,1.1726402567756689,large,ssa_delta_stratified_gap1_max1,1.0688382982100506
47,9,2017-06,2018-05,2018-06,2014-04,2015-03,2015-04,99.9,99.8,0.1,1.498123,1.498123,0.4854795020139973,1.0313020599565486,0.41422062300167134,0.72276134147911,medium,ssa_delta_stratified_gap1_max1,1.0060017210413985
47,19,2017-06,2018-05,2018-06,2015-02,2016-01,2016-02,99.9,101.6,-1.7,1.652963,1.652963,1.2566286420843207,1.1378933151229613,1.0721801782496347,1.105036746686298,small,ssa_delta_stratified_gap1_max1,1.135199076511155
48,22,2017-07,2018-06,2018-07,2015-05,2016-04,2016-05,100.3,99.5,0.8,1.496682,1.496682,1.3480494899887145,1.0303100811481345,1.1501822368683883,1.0902461590082613,large,ssa_delta_stratified_gap1_max1,1.0352248395326649
48,3,2017-07,2018-06,2018-07,2013-10,2014-09,2014-10,100.3,100.0,0.3,1.479323,1.479323,0.9709590040279946,1.0183602129071518,0.8284412460033427,0.9234007294552473,medium,ssa_delta_stratified_gap1_max1,1.0105735352640957
48,2,2017-07,2018-06,2018-07,2013-09,2014-08,2014-09,100.3,100.5,-0.2,1.619174,1.619174,0.9531537267860598,1.1146330986361495,0.8132494346060015,0.9639412666210755,small,ssa_delta_stratified_gap1_max1,1.1022763684109134
49,20,2017-08,2018-07,2018-08,2015-03,2016-02,2016-03,100.7,99.6,1.1,1.305286,1.305286,2.14480153295872,0.8985538174318418,1.8299866905018902,1.364270253966866,large,ssa_delta_stratified_gap1_max1,0.9367425652277138
49,17,2017-08,2018-07,2018-08,2014-12,2015-11,2015-12,100.7,100.5,0.2,1.522015,1.522015,0.6782041778691666,1.0477492200471963,0.5786570924496064,0.8132031562484013,medium,ssa_delta_stratified_gap1_max1,1.028516442815695
49,19,2017-08,2018-07,2018-08,2015-02,2016-01,2016-02,100.7,101.6,-0.9,1.214378,1.214378,0.3468798202879112,0.835973102986813,0.29596465900268565,0.5659688809947494,small,ssa_delta_stratified_gap1_max1,0.8138327567834638
