semantic_pair_id,sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,i_cache_split,i_cache_record_id,i_generation_run_id,i_generation_branch,i_generation_partner_sample_id,i_state_file_sha256,j_cache_split,j_cache_record_id,j_generation_run_id,j_generation_branch,j_generation_partner_sample_id,j_state_file_sha256,state_resolution,derived_from_cache,semantic_pair_simulated_simultaneously
train:19__train:7,19,7,2019-04,2020-03,2020-04,2018-04,2019-03,2019-04,99.1,100.1,-1.0,0.726518,train,train:19,train:run:010,reference,18,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:7,train:run:004,reference,6,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:0,20,0,2019-05,2020-04,2020-05,2017-09,2018-08,2018-09,99.2,100.7,-1.5,1.492139,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:1,20,1,2019-05,2020-04,2020-05,2017-10,2018-09,2018-10,99.2,100.2,-1.0,1.608609,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:1,train:run:001,reference,0,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:2,20,2,2019-05,2020-04,2020-05,2017-11,2018-10,2018-11,99.2,99.7,-0.5,1.537706,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:2,train:run:002,target,3,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:3,20,3,2019-05,2020-04,2020-05,2017-12,2018-11,2018-12,99.2,100.0,-0.8,1.379957,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:3,train:run:002,reference,2,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:4,20,4,2019-05,2020-04,2020-05,2018-01,2018-12,2019-01,99.2,100.5,-1.3,1.392435,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:4,train:run:003,target,5,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:5,20,5,2019-05,2020-04,2020-05,2018-02,2019-01,2019-02,99.2,101.0,-1.8,1.486653,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:5,train:run:003,reference,4,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:6,20,6,2019-05,2020-04,2020-05,2018-03,2019-02,2019-03,99.2,99.6,-0.4,1.593084,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:6,train:run:004,target,7,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:7,20,7,2019-05,2020-04,2020-05,2018-04,2019-03,2019-04,99.2,100.1,-0.9,1.321607,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:7,train:run:004,reference,6,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:20__train:8,20,8,2019-05,2020-04,2020-05,2018-05,2019-04,2019-05,99.2,100.0,-0.8,0.802017,train,train:20,train:run:011,target,21,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:8,train:run:005,target,9,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:0,21,0,2019-06,2020-05,2020-06,2017-09,2018-08,2018-09,99.9,100.7,-0.8,1.455356,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:1,21,1,2019-06,2020-05,2020-06,2017-10,2018-09,2018-10,99.9,100.2,-0.3,1.542377,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:1,train:run:001,reference,0,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:2,21,2,2019-06,2020-05,2020-06,2017-11,2018-10,2018-11,99.9,99.7,0.2,1.59887,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:2,train:run:002,target,3,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:3,21,3,2019-06,2020-05,2020-06,2017-12,2018-11,2018-12,99.9,100.0,-0.1,1.469789,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:3,train:run:002,reference,2,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:4,21,4,2019-06,2020-05,2020-06,2018-01,2018-12,2019-01,99.9,100.5,-0.6,1.355406,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:4,train:run:003,target,5,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:5,21,5,2019-06,2020-05,2020-06,2018-02,2019-01,2019-02,99.9,101.0,-1.1,1.427765,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:5,train:run:003,reference,4,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:6,21,6,2019-06,2020-05,2020-06,2018-03,2019-02,2019-03,99.9,99.6,0.3,1.567302,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:6,train:run:004,target,7,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:7,21,7,2019-06,2020-05,2020-06,2018-04,2019-03,2019-04,99.9,100.1,-0.2,1.577618,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:7,train:run:004,reference,6,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:8,21,8,2019-06,2020-05,2020-06,2018-05,2019-04,2019-05,99.9,100.0,-0.1,1.3247,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:8,train:run:005,target,9,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:21__train:9,21,9,2019-06,2020-05,2020-06,2018-06,2019-05,2019-06,99.9,99.9,0.0,0.798324,train,train:21,train:run:011,reference,20,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:9,train:run:005,reference,8,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:0,22,0,2019-07,2020-06,2020-07,2017-09,2018-08,2018-09,100.6,100.7,-0.1,1.585406,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:1,22,1,2019-07,2020-06,2020-07,2017-10,2018-09,2018-10,100.6,100.2,0.4,1.462401,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:1,train:run:001,reference,0,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:2,22,2,2019-07,2020-06,2020-07,2017-11,2018-10,2018-11,100.6,99.7,0.9,1.546277,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:2,train:run:002,target,3,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:3,22,3,2019-07,2020-06,2020-07,2017-12,2018-11,2018-12,100.6,100.0,0.6,1.583765,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:3,train:run:002,reference,2,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:4,22,4,2019-07,2020-06,2020-07,2018-01,2018-12,2019-01,100.6,100.5,0.1,1.458175,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:4,train:run:003,target,5,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:5,22,5,2019-07,2020-06,2020-07,2018-02,2019-01,2019-02,100.6,101.0,-0.4,1.35058,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:5,train:run:003,reference,4,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:6,22,6,2019-07,2020-06,2020-07,2018-03,2019-02,2019-03,100.6,99.6,1.0,1.420051,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:6,train:run:004,target,7,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:7,22,7,2019-07,2020-06,2020-07,2018-04,2019-03,2019-04,100.6,100.1,0.5,1.634967,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:7,train:run:004,reference,6,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:8,22,8,2019-07,2020-06,2020-07,2018-05,2019-04,2019-05,100.6,100.0,0.6,1.597416,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:8,train:run:005,target,9,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:9,22,9,2019-07,2020-06,2020-07,2018-06,2019-05,2019-06,100.6,99.9,0.7,1.33384,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:9,train:run:005,reference,8,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:22__train:10,22,10,2019-07,2020-06,2020-07,2018-07,2019-06,2019-07,100.6,100.4,0.2,0.798324,train,train:22,train:run:012,target,23,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:10,train:run:006,target,11,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
train:23__train:0,23,0,2019-08,2020-07,2020-08,2017-09,2018-08,2018-09,100.4,100.7,-0.3,1.150095,train,train:23,train:run:012,reference,22,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,train,train:0,train:run:001,target,1,0a9cc18afa66e794ac776939eb37b784c029bbfb36db8c55425e4f45995d9add,unique_window_cache_lookup,True,False
