sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,target_gap_months_actual,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,sample_weight,selection_method,search_distance
19,3,2015-02,2016-01,2016-02,2013-10,2014-09,2014-10,101.6,100.0,1.5999999999999943,1.509172582428004,16,1.509172582428004,0.16743303139041757,1.0389088869973668,0.1428571428574909,0.5908830149274289,large,0.0625,all_target_gap_pairs_balanced,1.002170765487632
19,4,2015-02,2016-01,2016-02,2013-11,2014-10,2014-11,101.6,99.8,1.7999999999999972,1.627346284509284,15,1.627346284509284,0.8300355207862317,1.120259231372231,0.7082025690214964,0.9142309001968637,large,0.0625,all_target_gap_pairs_balanced,1.103364908215851
19,5,2015-02,2016-01,2016-02,2013-12,2014-11,2014-12,101.6,100.3,1.2999999999999972,1.5928188303832402,14,1.5928188303832402,1.1759586744879074,1.096490658211943,1.003350981349067,1.049920819780505,large,0.0625,all_target_gap_pairs_balanced,1.092671931460565
19,6,2015-02,2016-01,2016-02,2014-01,2014-12,2015-01,101.6,100.3,1.2999999999999972,1.1137649606106408,13,1.1137649606106408,0.5870231424115999,0.7667117260658737,0.5008596465090736,0.6337856862874736,large,0.0625,all_target_gap_pairs_balanced,0.7558117908040448
19,7,2015-02,2016-01,2016-02,2014-02,2015-01,2015-02,101.6,101.2,0.3999999999999915,0.6823100114296372,12,0.6823100114296372,1.7016679434509,0.4696997167952073,1.4518964297237866,0.960798073259497,large,0.0625,all_target_gap_pairs_balanced,0.509969782025279
20,0,2015-03,2016-02,2016-03,2013-07,2014-06,2014-07,99.6,100.1,-0.5,1.6470979397205803,20,1.6470979397205803,2.5876853803047264,1.1338561985917852,2.2078638663743964,1.6708600324830907,small,0.03125,all_target_gap_pairs_balanced,1.177890512970872
20,1,2015-03,2016-02,2016-03,2013-08,2014-07,2014-08,99.6,100.2,-0.6000000000000085,1.3983711143900683,19,1.3983711143900683,2.2846109060154474,0.9626335615791372,1.9492747868453708,1.455954174212254,small,0.03125,all_target_gap_pairs_balanced,1.0030858518150527
20,2,2015-03,2016-02,2016-03,2013-09,2014-08,2014-09,99.6,100.5,-0.9000000000000057,1.38502103698205,18,1.38502103698205,2.15277332211235,0.9534434171100538,1.8367883771971183,1.395115897153586,small,0.03125,all_target_gap_pairs_balanced,0.9896605604736234
20,3,2015-03,2016-02,2016-03,2013-10,2014-09,2014-10,99.6,100.0,-0.4000000000000057,1.3070820746828071,17,1.3070820746828071,1.8688692140204535,0.8997905204706471,1.5945558297080822,1.2471731750893646,small,0.03125,all_target_gap_pairs_balanced,0.9282758981493819
20,4,2015-03,2016-02,2016-03,2013-11,2014-10,2014-11,99.6,99.8,-0.20000000000000284,1.5375769159333834,16,1.5375769159333834,2.6298083698719514,1.0584623263134323,2.243804026378774,1.6511331763461032,small,0.03125,all_target_gap_pairs_balanced,1.1070613360161112
20,5,2015-03,2016-02,2016-03,2013-12,2014-11,2014-12,99.6,100.3,-0.7000000000000028,1.6519045165237018,15,1.6519045165237018,2.9747759827480382,1.137165028486352,2.5381371525522707,1.8376510905193113,small,0.03125,all_target_gap_pairs_balanced,1.1946048855730544
20,6,2015-03,2016-02,2016-03,2014-01,2014-12,2015-01,99.6,100.3,-0.7000000000000028,1.5489435337287631,14,1.5489435337287631,2.296298172231289,1.0662870644382954,1.959246591366528,1.5127668279024116,small,0.03125,all_target_gap_pairs_balanced,1.102898405042353
20,7,2015-03,2016-02,2016-03,2014-02,2015-01,2015-02,99.6,101.2,-1.6000000000000085,1.3542537562149264,13,1.3542537562149264,3.064956253498345,0.932263333539835,2.6150807264368265,1.7736720299883308,small,0.03125,all_target_gap_pairs_balanced,1.0012588466486116
20,8,2015-03,2016-02,2016-03,2014-03,2015-02,2015-03,99.6,99.5,0.09999999999999432,0.46486600365745634,12,0.46486600365745634,1.3201607246511615,0.320012056994629,1.1263869958645043,0.7231995264295666,medium,0.25,all_target_gap_pairs_balanced,0.35307342948829384
21,0,2015-04,2016-03,2016-04,2013-07,2014-06,2014-07,99.8,100.1,-0.29999999999999716,1.6808792456920756,21,1.6808792456920756,0.4556934571347115,1.1571111260909983,0.3888065859198384,0.7729588560054184,small,0.03571428571428571,all_target_gap_pairs_balanced,1.1256106399439807
21,1,2015-04,2016-03,2016-04,2013-08,2014-07,2014-08,99.8,100.2,-0.4000000000000057,1.6536294215170426,20,1.6536294215170426,0.7594890952244905,1.1383524467761308,0.6480109765330395,0.8931817116545852,small,0.03571428571428571,all_target_gap_pairs_balanced,1.1182484464961642
21,2,2015-04,2016-03,2016-04,2013-09,2014-08,2014-09,99.8,100.5,-0.7000000000000028,1.3381821506385072,19,1.3381821506385072,1.0406394608630447,0.9211996990317156,0.8878939770074692,0.9045468380195925,small,0.03571428571428571,all_target_gap_pairs_balanced,0.9198341644287215
21,3,2015-04,2016-03,2016-04,2013-10,2014-09,2014-10,99.8,100.0,-0.20000000000000284,1.3064956085473325,18,1.3064956085473325,1.696504129642551,0.8993867993275771,1.447490562609139,1.1734386809683581,small,0.03571428571428571,all_target_gap_pairs_balanced,0.9218590536221212
21,4,2015-04,2016-03,2016-04,2013-11,2014-10,2014-11,99.8,99.8,0.0,1.287849005991176,17,1.287849005991176,1.320160724650918,0.886550546314862,1.1263869958642965,1.0064687710895792,medium,0.08333333333333333,all_target_gap_pairs_balanced,0.8963838407463888
