evaluation_index,gap_months,k_references,level_weight,distance_power,max_pairs_per_bin,shape_weight,fitness,val_mae,val_rmse,validation_block_rmse_std,selected_alpha,num_train_pairs,num_train_pair_targets
268,12,11,0.0,1.062,2,1.0,0.7200465257207069,0.5222142263440747,0.7041354254178076,0.15911100302899348,1.0,118,27
275,12,11,0.0,1.137,2,1.0,0.7203409362620208,0.5224424875369285,0.7044397602601723,0.15901176001848535,1.0,118,27
332,12,10,0.06,0.558,2,0.94,0.720379133500556,0.5196832356088887,0.7031673449662859,0.17211788534270245,1.0,118,27
44,12,10,0.0,2.055,2,1.0,0.7212532894192814,0.5221981372908105,0.7055551622323739,0.15698127186907462,1.0,118,27
167,12,11,0.06,1.037,2,0.94,0.7255019422749253,0.5247385990936421,0.7083507304857877,0.1715121178913756,1.0,118,27
263,12,14,0.0,1.227,2,1.0,0.7263591504374248,0.5269563961376854,0.7095629397628875,0.1679621067453733,1.0,118,27
38,12,15,0.0,1.12,2,1.0,0.7268612731128534,0.5269313214203202,0.7100620726576551,0.16799200455198368,1.0,118,27
13,12,12,0.06,1.195,2,0.94,0.7312514316197611,0.5284807798700023,0.7142279173297104,0.17023514290050815,1.0,118,27
111,12,8,0.105,0.708,2,0.895,0.7319308358744453,0.5291202300078781,0.7150852828603652,0.16845553014080134,1.0,118,27
176,12,10,0.09,1.073,2,0.91,0.7333168549576888,0.5246480072553608,0.7159134782078093,0.17403376749879562,1.0,118,27
157,12,10,0.079,1.063,2,0.921,0.7339299930214305,0.5243058625953018,0.7163458608378894,0.17584132183541087,1.0,118,27
327,12,11,0.137,0.5,2,0.863,0.7342237560727539,0.5306643068611117,0.7167906753771061,0.1743308069564786,1.0,118,27
166,12,10,0.095,1.078,2,0.905,0.7365659690373559,0.5274802943809694,0.719248038042371,0.1731793099498494,1.0,118,27
141,12,14,0.0,3.0,2,1.0,0.7366678684649353,0.5334082327446863,0.7207535191159155,0.1591434934901978,1.0,118,27
164,12,15,0.326,1.274,2,0.6739999999999999,0.7383162891126305,0.5368384205655812,0.7215943253610025,0.1672196375162795,1.0,118,27
169,12,10,0.149,1.133,2,0.851,0.739155716773358,0.5365083086509401,0.7223152387183239,0.16840478055034078,1.0,118,27
158,12,10,0.15,1.133,2,0.85,0.7392074644105551,0.5365436327557506,0.7223642642824161,0.16843200128138955,1.0,118,27
183,12,7,0.0,0.722,1,1.0,0.7393117275372053,0.5494997746129554,0.7228424351926097,0.16469292344595607,1.0,67,27
52,12,8,0.12,0.678,2,0.88,0.7393818962458207,0.5298006468997067,0.7220374889571014,0.17344407288719382,1.0,118,27
203,12,8,0.12,0.717,2,0.88,0.7395780958051806,0.5299851770865435,0.7222514675046577,0.17326628300522864,1.0,118,27
226,12,13,0.304,1.073,2,0.696,0.7414075993099711,0.5360189557317553,0.7243321242518181,0.17075475058152975,1.0,118,27
318,12,11,0.209,0.5,2,0.791,0.7425913879847335,0.5360103556986411,0.7254472589513925,0.17144129033341002,1.0,118,27
244,12,14,0.226,2.311,2,0.774,0.7438306968497554,0.5424760759299776,0.7275418682445262,0.1628882860522933,1.0,118,27
307,12,11,0.4,0.5,2,0.6,0.7440474671646228,0.5393188074114973,0.7273862758448797,0.16661191319743104,1.0,118,27
308,12,11,0.209,0.774,2,0.791,0.7443915551892801,0.5375700559543326,0.7272714842564919,0.17120070932788192,1.0,118,27
155,12,9,0.0,0.5,1,1.0,0.7476589082578785,0.552306541007678,0.729843441931012,0.17815466326866503,1.0,67,27
132,12,14,0.197,2.631,2,0.8029999999999999,0.7493419664863994,0.5474054113864794,0.7331429349697365,0.16199031516662893,1.0,118,27
79,12,9,0.0,1.11,1,1.0,0.750309529027127,0.5541297643733378,0.732557000383373,0.17752528643754034,1.0,67,27
333,12,10,0.361,0.859,2,0.639,0.7510647761316406,0.5401061623060346,0.7341738462231416,0.16890929908498975,1.0,118,27
33,12,9,0.0,1.293,1,1.0,0.7513429209463475,0.5547747178337791,0.733619114271254,0.17723806675093406,1.0,67,27
177,12,10,0.284,0.699,2,0.716,0.7514559204367565,0.5428219032525144,0.7340175820623733,0.17438338374383114,1.0,118,27
149,12,10,0.4,0.573,2,0.6,0.7520998592980223,0.5424985137996692,0.7352796141228034,0.16820245175218845,1.0,118,27
227,12,6,0.0,1.282,1,1.0,0.7524243263610934,0.5519920513451647,0.7359113666329078,0.165129597281856,1.0,67,27
103,12,8,0.161,0.624,2,0.839,0.7530182086946868,0.5391923040353817,0.735166630963328,0.17851577731358767,1.0,118,27
210,12,8,0.155,0.989,2,0.845,0.7547328981804446,0.5409795628617045,0.7370479756810215,0.1768492249942312,1.0,118,27
232,12,9,0.0,1.825,1,1.0,0.7550271856900459,0.5569202266305076,0.7374214812036715,0.1760570448637446,1.0,67,27
35,3,10,0.0,1.977,1,1.0,0.7562516044725873,0.5547051591082158,0.7418147886965171,0.1443681577607024,10.0,90,36
184,12,8,0.172,0.732,2,0.8280000000000001,0.7590114139084562,0.5436808954185848,0.7407676458066059,0.1824376810185021,1.0,118,27
140,6,11,0.0,0.5,3,1.0,0.7599439882630077,0.5686483124967364,0.7454095018630602,0.145344863999475,10.0,203,33
68,3,5,0.0,0.5,1,1.0,0.7608357685942702,0.5525756148185116,0.7456461820472365,0.15189586547033665,10.0,90,36
113,12,9,0.236,1.59,2,0.764,0.7613922949667726,0.5509450512650147,0.7429718940868411,0.18420400879931562,1.0,118,27
148,12,11,0.037,0.5,1,0.963,0.7615227433126055,0.5655893842538108,0.7431988859303327,0.18323857382272857,1.0,67,27
130,6,9,0.0,1.181,3,1.0,0.7648858660196093,0.5721944480191142,0.7505596994612047,0.14326166558404618,10.0,203,33
102,6,8,0.0,0.5,3,1.0,0.7694190086586088,0.5740568372753002,0.7552481072196375,0.14170901438971276,10.0,203,33
60,12,9,0.4,1.205,2,0.6,0.7711473212242793,0.5618553553283991,0.75400691934254,0.17140401881739242,1.0,118,27
278,12,9,0.4,1.275,2,0.6,0.7719134644994535,0.5624445199494255,0.7547655348104201,0.1714792968903342,1.0,118,27
202,12,8,0.232,1.066,2,0.768,0.7722946464044133,0.5585108029288035,0.7534501298277582,0.18844516576655043,1.0,118,27
296,12,12,0.4,0.5,1,0.6,0.7789054923000457,0.5800332104371004,0.7596530409002992,0.19252451399746515,1.0,67,27
251,12,11,0.4,0.5,1,0.6,0.7844632738619645,0.5823365895685814,0.7656940370217236,0.18769236840240927,1.0,67,27
191,3,4,0.0,0.5,1,1.0,0.7884779017139466,0.5730522154769156,0.7728716540055929,0.15606247708353765,10.0,90,36
118,3,4,0.0,0.542,1,1.0,0.7885920144586,0.5731227759676168,0.7729968333329317,0.15595181125668356,10.0,90,36
6,6,15,0.13,1.426,3,0.87,0.7890872665033603,0.5878064632233544,0.7732944045587964,0.1579286194456385,10.0,203,33
242,3,15,0.259,1.808,1,0.741,0.7894872105370491,0.5796562657537176,0.7735350857930942,0.1595212474395491,10.0,90,36
154,12,11,0.4,1.518,1,0.6,0.7957078447864123,0.592073309888537,0.7767502317810012,0.1895761300541113,1.0,67,27
277,12,10,0.4,0.973,1,0.6,0.7966936816172965,0.5901084462528113,0.7776572354002269,0.1903644621706952,1.0,67,27
15,12,11,0.4,1.656,1,0.6,0.7974868210313661,0.5935623215450856,0.7785011540662379,0.18985666965128276,1.0,67,27
84,12,7,0.0,1.451,3,1.0,0.7984452448024726,0.5840742891087363,0.780977312259016,0.1746793254345654,10.0,164,27
77,3,3,0.0,0.5,1,1.0,0.7986653467763524,0.5731193804554491,0.7842821177393553,0.1438322903699709,10.0,90,36
88,3,3,0.0,0.579,1,1.0,0.7988583445077689,0.5732189680393718,0.78449395939794,0.1436438510982898,10.0,90,36
146,3,3,0.0,0.615,1,1.0,0.7989497994365178,0.5732642033807657,0.7845941654675491,0.14355633968968626,10.0,90,36
264,12,12,0.0,2.777,4,1.0,0.8015935533493843,0.5826988462308703,0.7842137450530815,0.17379808296302834,10.0,201,27
51,12,9,0.278,0.519,1,0.722,0.8027096019876842,0.589360067496905,0.782150773170133,0.20558828817551159,1.0,67,27
298,12,14,0.017,0.626,4,0.983,0.8050759081403045,0.5871175404096214,0.7861029838470173,0.18972924293287233,10.0,201,27
30,12,15,0.0,1.788,4,1.0,0.8051563498694639,0.5865823658535725,0.7866773549634242,0.18478994906039747,10.0,201,27
294,6,7,0.0,0.5,2,1.0,0.805365384941831,0.5956885454221564,0.7896156453544959,0.1574973958733506,10.0,150,33
331,6,7,0.004,0.5,2,0.996,0.8060306133541864,0.5978957361726793,0.7902466598059016,0.1578395354828477,10.0,150,33
303,6,7,0.005,0.5,2,0.995,0.806045671705693,0.5979137051136159,0.7902625474604087,0.15783124245284316,10.0,150,33
134,6,11,0.4,0.5,3,0.6,0.8067555801011036,0.5995990612322076,0.7904702449965304,0.16285335104573173,10.0,203,33
66,6,7,0.0,0.717,2,1.0,0.8068553183656303,0.5965392049593542,0.79109109438455,0.15764223981080258,10.0,150,33
315,12,15,0.019,0.64,5,0.981,0.8070365162037142,0.5827941613371946,0.787564932980419,0.19471583223295233,10.0,233,27
218,6,7,0.001,0.751,2,0.999,0.8070597492446113,0.5963051085200849,0.791282772454642,0.15776976789969324,10.0,150,33
98,6,7,0.0,0.755,2,1.0,0.8071238600860826,0.596691434429622,0.7913579427428699,0.15765917343212765,10.0,150,33
