sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,selection_method
204,172,2017-01,2017-12,2018-01,2014-05,2015-04,2015-05,101.5,101.2,0.3,1.531309,1.531309,0.6170355233147284,1.1045213846936726,0.5284316214332655,0.8164765030634691,medium,closed50_delta_stratified_gap12_hybrid_ablation
204,162,2017-01,2017-12,2018-01,2013-07,2014-06,2014-07,101.5,102.3,-0.8,1.709851,1.709851,2.717084651957095,1.2333023538292145,2.326921860984621,1.7801121074069177,small,closed50_delta_stratified_gap12_hybrid_ablation
204,174,2017-01,2017-12,2018-01,2014-07,2015-06,2015-07,101.5,101.6,-0.1,1.298492,1.298492,0.6704445161617358,0.9365922761857053,0.5741712905817242,0.7553817833837148,small,closed50_delta_stratified_gap12_hybrid_ablation
205,167,2017-02,2018-01,2018-02,2013-12,2014-11,2014-12,102.9,101.5,1.4,1.728167,1.728167,1.5831087371169126,1.2465135435251211,1.3557804781899998,1.3011470108575605,large,closed50_delta_stratified_gap12_hybrid_ablation
205,165,2017-02,2018-01,2018-02,2013-10,2014-09,2014-10,102.9,101.6,1.3,1.872333,1.872333,2.2706421101063667,1.3504993686889177,1.9445867322068942,1.647543050447906,large,closed50_delta_stratified_gap12_hybrid_ablation
206,176,2017-03,2018-02,2018-03,2014-09,2015-08,2015-09,102.1,101.6,0.5,1.072628,1.072628,1.5693223861418468,0.7736783130127259,1.343973793608428,1.0588260533105769,large,closed50_delta_stratified_gap12_hybrid_ablation
206,168,2017-03,2018-02,2018-03,2014-01,2014-12,2015-01,102.1,100.8,1.3,1.742162,1.742162,2.4868492247076435,1.2566080292094526,2.1297473458461273,1.69317768752779,large,closed50_delta_stratified_gap12_hybrid_ablation
206,180,2017-03,2018-02,2018-03,2015-01,2015-12,2016-01,102.1,101.8,0.3,0.929035,0.929035,2.2119906081732927,0.6701057883346118,1.8943573578922779,1.2822315731134448,medium,closed50_delta_stratified_gap12_hybrid_ablation
206,163,2017-03,2018-02,2018-03,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.642518,1.642518,2.4725794279841433,1.184735579653931,2.117526636445777,1.651131108049854,medium,closed50_delta_stratified_gap12_hybrid_ablation
206,183,2017-03,2018-02,2018-03,2015-04,2016-03,2016-04,102.1,102.3,-0.2,0.985964,0.985964,0.9963145848829817,0.7111682374609645,0.8532476845401711,0.7822079610005678,small,closed50_delta_stratified_gap12_hybrid_ablation
206,162,2017-03,2018-02,2018-03,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.702451,1.702451,2.5518288814465335,1.2279647908378566,2.185396176542694,1.7066804836902754,small,closed50_delta_stratified_gap12_hybrid_ablation
207,177,2017-04,2018-03,2018-04,2014-10,2015-09,2015-10,101.8,101.3,0.5,0.892583,0.892583,1.1198189129102167,0.6438132415561015,0.9590172712940427,0.801415256425072,large,closed50_delta_stratified_gap12_hybrid_ablation
207,168,2017-04,2018-03,2018-04,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.758195,1.758195,1.1848413382090721,1.268172508593296,1.0147027291516637,1.1414376188724797,large,closed50_delta_stratified_gap12_hybrid_ablation
207,173,2017-04,2018-03,2018-04,2014-06,2015-05,2015-06,101.8,101.4,0.4,1.668895,1.668895,1.5442230922180742,1.2037611065489373,1.3224786606966004,1.2631198836227688,medium,closed50_delta_stratified_gap12_hybrid_ablation
207,164,2017-04,2018-03,2018-04,2013-09,2014-08,2014-09,101.8,101.6,0.2,1.683977,1.683977,1.8836676586613457,1.2146396369591614,1.6131803072869502,1.4139099721230557,medium,closed50_delta_stratified_gap12_hybrid_ablation
207,175,2017-04,2018-03,2018-04,2014-08,2015-07,2015-08,101.8,102.0,-0.2,1.517455,1.517455,1.1198189129101919,1.0945286012230953,0.9590172712940214,1.0267729362585583,small,closed50_delta_stratified_gap12_hybrid_ablation
207,180,2017-04,2018-03,2018-04,2015-01,2015-12,2016-01,101.8,101.8,0.0,1.12089,1.12089,1.1344695428293854,0.808489321808525,0.9715641277239863,0.8900267247662557,small,closed50_delta_stratified_gap12_hybrid_ablation
208,172,2017-05,2018-04,2018-05,2014-05,2015-04,2015-05,101.8,101.2,0.6,1.646455,1.646455,0.5597176510836278,1.1875753074237927,0.47934437278107384,0.8334598401024332,large,closed50_delta_stratified_gap12_hybrid_ablation
208,168,2017-05,2018-04,2018-05,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.735662,1.735662,0.7171020268568906,1.2519196292846113,0.6141289641630308,0.933024296723821,large,closed50_delta_stratified_gap12_hybrid_ablation
208,167,2017-05,2018-04,2018-05,2013-12,2014-11,2014-12,101.8,101.5,0.3,1.702255,1.702255,0.9877236234967552,1.2278234175478153,0.845890351804113,1.0368568846759643,medium,closed50_delta_stratified_gap12_hybrid_ablation
208,174,2017-05,2018-04,2018-05,2014-07,2015-06,2015-07,101.8,101.6,0.2,1.575642,1.575642,0.9877236234967552,1.1364984360579788,0.845890351804113,0.9911943939310459,medium,closed50_delta_stratified_gap12_hybrid_ablation
208,182,2017-05,2018-04,2018-05,2015-03,2016-02,2016-03,101.8,102.3,-0.5,1.201187,1.201187,0.9644891159791976,0.8664069293108304,0.8259922292215597,0.846199579266195,small,closed50_delta_stratified_gap12_hybrid_ablation
208,175,2017-05,2018-04,2018-05,2014-08,2015-07,2015-08,101.8,102.0,-0.2,1.741827,1.741827,0.9441449967253558,1.2563663962902494,0.8085694463869709,1.03246792133861,small,closed50_delta_stratified_gap12_hybrid_ablation
209,169,2017-06,2018-05,2018-06,2014-02,2015-01,2015-02,101.9,101.4,0.5,1.636576,1.636576,1.6565354223620845,1.1804496608303299,1.4186633769445747,1.2995565188874523,large,closed50_delta_stratified_gap12_hybrid_ablation
209,177,2017-06,2018-05,2018-06,2014-10,2015-09,2015-10,101.9,101.3,0.6,1.311546,1.311546,1.005000975525152,0.946008025819379,0.8606867432620845,0.9033473845407318,large,closed50_delta_stratified_gap12_hybrid_ablation
209,165,2017-06,2018-05,2018-06,2013-10,2014-09,2014-10,101.9,101.6,0.3,1.643952,1.643952,1.3984664066326238,1.1857699128065806,1.197652068404325,1.1917109906054528,medium,closed50_delta_stratified_gap12_hybrid_ablation
209,179,2017-06,2018-05,2018-06,2014-12,2015-11,2015-12,101.9,101.6,0.3,0.725675,0.725675,1.109319650535191,0.5234237869937294,0.9500256621709837,0.7367247245823565,medium,closed50_delta_stratified_gap12_hybrid_ablation
209,181,2017-06,2018-05,2018-06,2015-02,2016-01,2016-02,101.9,102.3,-0.4,1.519212,1.519212,0.7548692986649842,1.0957959117873945,0.6464730025928606,0.8711344571901276,small,closed50_delta_stratified_gap12_hybrid_ablation
209,185,2017-06,2018-05,2018-06,2015-06,2016-05,2016-06,101.9,101.9,0.0,0.910323,0.910323,0.3315597137444072,0.6566089668894377,0.2839490280797652,0.47027899748460145,small,closed50_delta_stratified_gap12_hybrid_ablation
210,168,2017-07,2018-06,2018-07,2014-01,2014-12,2015-01,102.1,100.8,1.3,1.647247,1.647247,0.7565048077393461,1.1881465709223271,0.6478736589236195,0.9180101149229734,large,closed50_delta_stratified_gap12_hybrid_ablation
210,177,2017-07,2018-06,2018-07,2014-10,2015-09,2015-10,102.1,101.3,0.8,1.647484,1.647484,1.1480597496964804,1.1883175171965097,0.9832028337288097,1.0857601754626596,large,closed50_delta_stratified_gap12_hybrid_ablation
210,180,2017-07,2018-06,2018-07,2015-01,2015-12,2016-01,102.1,101.8,0.3,0.666409,0.666409,1.1675453893032617,0.4806756777713222,0.9998904112555635,0.7402830445134428,medium,closed50_delta_stratified_gap12_hybrid_ablation
210,186,2017-07,2018-06,2018-07,2015-07,2016-06,2016-07,102.1,101.8,0.3,0.949841,0.949841,0.0,0.6851129958478809,0.0,0.34255649792394044,medium,closed50_delta_stratified_gap12_hybrid_ablation
210,182,2017-07,2018-06,2018-07,2015-03,2016-02,2016-03,102.1,102.3,-0.2,1.494421,1.494421,0.9254812829082251,1.0779143544740497,0.7925857693024309,0.9352500618882402,small,closed50_delta_stratified_gap12_hybrid_ablation
210,162,2017-07,2018-06,2018-07,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.71161,1.71161,1.9287493418891781,1.2345711069781062,1.651788436097831,1.4431797715379686,small,closed50_delta_stratified_gap12_hybrid_ablation
